Helység;jogállása;Megye ;megye székhely;Terület  (hektár);Lakó-népesség;Lakások száma
Büssü;község;Somogy;Kaposvár;1719;405;153
Büttös;község;Borsod-Abaúj-Zemplén;Encs;1818;157;100
Cák;község;Vas;Kőszeg;648;259;122
Cakóháza;község;Győr-Moson-Sopron;Csorna;288;55;29
Cece;nagyközség;Fejér;Sárbogárd;5885;2589;1121
Cégénydányád;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1205;641;281
Cegléd;város;Pest;Cegléd;24487;35885;15632
Ceglédbercel;község;Pest;Cegléd;2814;4265;1698
Celldömölk;város;Vas;Celldömölk;5239;10927;4774
Cered;község;Nógrád;Salgótarján;3857;1105;553
Chernelházadamonya;község;Vas;Sárvár;785;192;103
Cibakháza;nagyközség;Jász-Nagykun-Szolnok;Kunszentmárton;3820;4117;1949
Cigánd;város;Borsod-Abaúj-Zemplén;Cigánd;5680;3044;1115
Cikó;község;Tolna;Bonyhád;1986;870;342
Cirák;község;Győr-Moson-Sopron;Kapuvár;1176;582;269
Cún;község;Baranya;Siklós;1845;230;98
Csabacsűd;nagyközség;Békés;Szarvas;6685;1764;834
Csabaszabadi;község;Békés;Békéscsaba;3271;281;168
Csabdi;község;Fejér;Bicske;1702;1183;453
Csabrendek;község;Veszprém;Sümeg;4492;3048;1092
Csáfordjánosfa;község;Győr-Moson-Sopron;Sopron;528;199;103
Csaholc;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1936;559;178
Csajág;község;Veszprém;Balatonalmádi;2229;829;340
Csákány;község;Somogy;Marcali;1608;229;179
Csákánydoroszló;község;Vas;Körmend;2661;1757;596
Csákberény;község;Fejér;Mór;4137;1165;524
Csákvár;város;Fejér;Bicske;11876;5225;1994
Csanádalberti;község;Csongrád;Makó;1530;423;242
Csanádapáca;község;Békés;Orosháza;5130;2527;1348
Csanádpalota;város;Csongrád;Makó;7768;2827;1573
Csánig;község;Vas;Sárvár;819;340;178
Csány;község;Heves;Hatvan;4789;2118;980
Csányoszró;község;Baranya;Sellye;2856;656;265
Csanytelek;község;Csongrád;Csongrád;3471;2628;1329
Csapi;község;Zala;Nagykanizsa;1011;159;85
Csapod;község;Győr-Moson-Sopron;Sopron;2918;588;280
Csárdaszállás;község;Békés;Gyomaendrőd;5416;372;226
Csarnóta;község;Baranya;Siklós;533;163;56
Csaroda;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;2468;578;245
Császár;község;Komárom-Esztergom;Kisbér;6780;1878;734
Császártöltés;község;Bács-Kiskun;Kiskőrös;8200;2283;1068
Császló;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1016;362;152
Csátalja;község;Bács-Kiskun;Baja;3906;1437;662
Csatár;község;Zala;Zalaegerszeg;779;558;211
Csataszög;község;Jász-Nagykun-Szolnok;Szolnok;1121;294;132
Csatka;község;Komárom-Esztergom;Kisbér;1777;220;170
Csávoly;község;Bács-Kiskun;Baja;4742;1832;820
Csebény;község;Baranya;Szigetvár;376;98;43
Csécse;község;Nógrád;Pásztó;2173;909;423
Csegöld;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1935;671;263
Csehbánya;község;Veszprém;Ajka;1282;288;132
Csehi;község;Vas;Vasvár;933;238;145
Csehimindszent;község;Vas;Vasvár;1543;360;177
Csém;község;Komárom-Esztergom;Komárom;629;388;167
Csemő;község;Pest;Cegléd;7944;4171;1848
Csempeszkopács;község;Vas;Szombathely;540;283;118
Csengele;község;Csongrád;Kistelek;6065;2006;969
Csenger;város;Szabolcs-Szatmár-Bereg;Csenger;3616;4870;1925
Csengersima;község;Szabolcs-Szatmár-Bereg;Csenger;2377;775;303
Csengerújfalu;község;Szabolcs-Szatmár-Bereg;Csenger;2559;807;336
Csengőd;község;Bács-Kiskun;Kiskőrös;4889;2010;1114
Csénye;község;Vas;Sárvár;1912;712;295
Csenyéte;község;Borsod-Abaúj-Zemplén;Encs;997;442;75
Csép;község;Komárom-Esztergom;Kisbér;2005;353;151
Csépa;község;Jász-Nagykun-Szolnok;Kunszentmárton;2968;1642;847
Csepreg;város;Vas;Kőszeg;4953;3241;1294
Csér;község;Győr-Moson-Sopron;Sopron;293;27;22
Cserdi;község;Baranya;Szentlőrinc;646;391;152
Cserénfa;község;Somogy;Kaposvár;1775;221;84
Cserépfalu;község;Borsod-Abaúj-Zemplén;Mezőkövesd;4464;1017;609
Cserépváralja;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1461;382;219
Cserháthaláp;község;Nógrád;Balassagyarmat;1047;339;174
Cserhátsurány;község;Nógrád;Balassagyarmat;1880;858;364
Cserhátszentiván;község;Nógrád;Pásztó;1066;118;128
Cserkeszőlő;község;Jász-Nagykun-Szolnok;Kunszentmárton;3070;2218;1490
Cserkút;község;Baranya;Pécs;667;586;222
Csernely;község;Borsod-Abaúj-Zemplén;Ózd;2062;754;415
Cserszegtomaj;község;Zala;Keszthely;1260;2929;1208
Csertalakos;község;Zala;Zalaegerszeg;199;17;30
Csertő;község;Baranya;Szigetvár;1426;363;170
Csesznek;község;Veszprém;Zirc;2420;547;232
Csesztreg;község;Zala;Lenti;2300;849;357
Csesztve;község;Nógrád;Balassagyarmat;1625;328;185
Csetény;község;Veszprém;Zirc;1837;1877;702
Csévharaszt;község;Pest;Monor;4915;1869;710
Csibrák;község;Tolna;Dombóvár;1462;296;143
Csikéria;község;Bács-Kiskun;Bácsalmás;2580;846;480
Csikóstőttős;község;Tolna;Dombóvár;1770;828;353
Csikvánd;község;Győr-Moson-Sopron;Tét;1453;462;229
Csincse;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1134;543;211
Csipkerek;község;Vas;Vasvár;1314;326;236
Csitár;község;Nógrád;Balassagyarmat;1685;415;199
Csobád;község;Borsod-Abaúj-Zemplén;Encs;1183;667;265
Csobaj;község;Borsod-Abaúj-Zemplén;Tokaj;1960;694;320
Csobánka;község;Pest;Szentendre;2276;3189;1093
Csókakő;község;Fejér;Mór;1092;1356;538
Csokonyavisonta;község;Somogy;Barcs;8129;1561;653
Csokvaomány;község;Borsod-Abaúj-Zemplén;Ózd;1500;895;417
Csolnok;község;Komárom-Esztergom;Esztergom;1870;3111;1292
Csólyospálos;község;Bács-Kiskun;Kiskunmajsa;6507;1613;947
Csoma;község;Somogy;Kaposvár;842;424;179
Csomád;község;Pest;Dunakeszi;1239;1592;584
Csombárd;község;Somogy;Kaposvár;899;265;109
Csongrád;város;Csongrád;Csongrád;17389;16564;8405
Csonkahegyhát;község;Zala;Zalaegerszeg;828;322;142
Csonkamindszent;község;Baranya;Szentlőrinc;553;157;62
Csopak;község;Veszprém;Balatonfüred;2398;1759;896
Csór;község;Fejér;Székesfehérvár;4149;1785;677
Csorna;város;Győr-Moson-Sopron;Csorna;9196;10400;4300
Csorvás;város;Békés;Békéscsaba;9018;4871;2357
Csót;község;Veszprém;Pápa;2002;987;361
Csöde;község;Zala;Zalaegerszeg;1061;82;55
Csögle;község;Veszprém;Devecser;1691;587;301
Csökmő;nagyközség;Hajdú-Bihar;Berettyóújfalu;6895;1912;866
Csököly;község;Somogy;Kaposvár;2985;1068;396
Csömend;község;Somogy;Marcali;866;307;132
Csömödér;község;Zala;Lenti;779;633;260
Csömör;nagyközség;Pest;Gödöllő;2270;9253;3348
Csönge;község;Vas;Celldömölk;2527;374;191
Csörnyeföld;község;Zala;Letenye;2122;393;213
Csörög;község;Pest;Vác;504;1925;697
Csörötnek;község;Vas;Szentgotthárd;2053;899;323
Csősz;község;Fejér;Székesfehérvár;1711;1008;390
Csővár;község;Pest;Vác;1717;620;242
Csurgó;város;Somogy;Csurgó;5942;5053;2093
Csurgónagymarton;község;Somogy;Csurgó;1482;154;82
Dabas;város;Pest;Dabas;16602;16623;6646
Dabronc;község;Veszprém;Sümeg;2027;400;201
Dabrony;község;Veszprém;Devecser;1700;350;196
Dad;község;Komárom-Esztergom;Oroszlány;2374;977;380
Dág;község;Komárom-Esztergom;Esztergom;1188;946;390
Dáka;község;Veszprém;Pápa;2539;639;173
Dalmand;község;Tolna;Dombóvár;4877;1240;519
Damak;község;Borsod-Abaúj-Zemplén;Edelény;753;246;102
Dámóc;község;Borsod-Abaúj-Zemplén;Cigánd;1599;371;183
Dánszentmiklós;község;Pest;Cegléd;3800;2943;1066
Dány;község;Pest;Gödöllő;4301;4451;1528
Daraboshegy;község;Vas;Körmend;459;91;66
Darány;község;Somogy;Barcs;2810;915;334
Darnó;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;464;172;58
Darnózseli;község;Győr-Moson-Sopron;Mosonmagyaróvár;1960;1524;587
Daruszentmiklós;község;Fejér;Dunaújváros;1913;1274;557
Darvas;község;Hajdú-Bihar;Berettyóújfalu;4230;550;281
Dávod;község;Bács-Kiskun;Baja;6919;1965;1058
Debercsény;község;Nógrád;Balassagyarmat;543;72;52
Debrecen;megyeszékhely, megyei jogú város;Hajdú-Bihar;Debrecen;46166;203506;95772
Debréte;község;Borsod-Abaúj-Zemplén;Edelény;962;22;26
Decs;nagyközség;Tolna;Szekszárd;9472;3802;1503
Dédestapolcsány;község;Borsod-Abaúj-Zemplén;Kazincbarcika;2943;1526;742
Dég;község;Fejér;Enying;4686;2184;864
Dejtár;község;Nógrád;Balassagyarmat;2142;1377;569
Délegyháza;község;Pest;Szigetszentmiklós;2541;3734;1456
Demecser;város;Szabolcs-Szatmár-Bereg;Kemecse;3697;4205;1486
Demjén;község;Heves;Eger;2508;602;331
Dencsháza;község;Baranya;Szigetvár;1398;564;212
Dénesfa;község;Győr-Moson-Sopron;Kapuvár;1754;362;178
Derecske;város;Hajdú-Bihar;Derecske;10352;8734;3407
Derekegyház;község;Csongrád;Szentes;5376;1584;674
Deszk;község;Csongrád;Szeged;5205;3461;1339
Detek;község;Borsod-Abaúj-Zemplén;Encs;968;258;126
Detk;község;Heves;Gyöngyös;2808;1165;536
Dévaványa;város;Békés;Gyomaendrőd;21655;7772;3338
Devecser;város;Veszprém;Devecser;6410;4330;1752
Dinnyeberki;község;Baranya;Szentlőrinc;856;87;52
Diósberény;község;Tolna;Tamási;1775;335;173
Diósd;város;Pest;Érd;575;9628;3705
Diósjenő;község;Nógrád;Rétság;5750;2768;1115
Dióskál;község;Zala;Keszthely;1962;470;262
Diósviszló;község;Baranya;Siklós;1581;680;259
Doba;község;Veszprém;Devecser;2122;448;257
Doboz;nagyközség;Békés;Békéscsaba;5447;4084;1893
Dobri;község;Zala;Lenti;789;136;103
Dobronhegy;község;Zala;Zalaegerszeg;214;146;65
Dóc;község;Csongrád;Szeged;4943;707;301
Domaháza;község;Borsod-Abaúj-Zemplén;Ózd;2882;828;327
Domaszék;község;Csongrád;Szeged;5213;4919;2018
Dombegyház;nagyközség;Békés;Mezőkovácsháza;5794;2039;1028
Dombiratos;község;Békés;Mezőkovácsháza;1830;577;416
Dombóvár;város;Tolna;Dombóvár;7848;18688;8387
Dombrád;város;Szabolcs-Szatmár-Bereg;Kisvárda;5183;4015;1422
Domony;község;Pest;Aszód;2181;2159;736
Domoszló;község;Heves;Gyöngyös;4022;1955;957
Dormánd;község;Heves;Füzesabony;2006;1028;389
Dorog;város;Komárom-Esztergom;Esztergom;1154;11883;5146
Dorogháza;község;Nógrád;Bátonyterenye;1768;1053;574
Dozmat;község;Vas;Szombathely;854;231;95
Döbörhegy;község;Vas;Körmend;1175;111;108
Döbröce;község;Zala;Zalaszentgrót;270;66;47
Döbrököz;község;Tolna;Dombóvár;4313;1946;964
Döbrönte;község;Veszprém;Pápa;1079;237;114
Döge;község;Szabolcs-Szatmár-Bereg;Kisvárda;1654;2288;745
Dömös;község;Komárom-Esztergom;Esztergom;2401;1116;518
Dömsöd;nagyközség;Pest;Ráckeve;7233;5676;2380
Dör;község;Győr-Moson-Sopron;Csorna;1100;675;224
Dörgicse;község;Veszprém;Balatonfüred;1911;258;159
Döröske;község;Vas;Körmend;440;80;77
Dötk;község;Zala;Zalaszentgrót;172;36;21
Dövény;község;Borsod-Abaúj-Zemplén;Putnok;1165;301;120
Drágszél;község;Bács-Kiskun;Kalocsa;1260;314;169
Drávacsehi;község;Baranya;Siklós;741;181;83
Drávacsepely;község;Baranya;Siklós;660;197;89
Drávafok;község;Baranya;Sellye;2390;510;212
Drávagárdony;község;Somogy;Barcs;627;156;63
Drávaiványi;község;Baranya;Sellye;1101;215;88
Drávakeresztúr;község;Baranya;Sellye;1297;117;97
Drávapalkonya;község;Baranya;Siklós;1013;267;105
Drávapiski;község;Baranya;Siklós;491;79;40
Drávaszabolcs;község;Baranya;Siklós;1122;687;289
Drávaszerdahely;község;Baranya;Siklós;625;189;76
Drávasztára;község;Baranya;Sellye;1820;391;226
Drávatamási;község;Somogy;Barcs;845;410;103
Drégelypalánk;község;Nógrád;Balassagyarmat;2218;1496;646
Dubicsány;község;Borsod-Abaúj-Zemplén;Putnok;1300;233;119
Dudar;község;Veszprém;Zirc;2458;1649;654
Duka;község;Vas;Celldömölk;1524;210;164
Dunaalmás;község;Komárom-Esztergom;Tata;1484;1547;666
Dunabogdány;község;Pest;Szentendre;2550;3052;1223
Dunaegyháza;község;Bács-Kiskun;Kunszentmiklós;1012;1389;723
Dunafalva;község;Bács-Kiskun;Baja;5793;905;570
Dunaföldvár;város;Tolna;Paks;11142;8593;4072
Dunaharaszti;város;Pest;Szigetszentmiklós;2917;20767;8017
Dunakeszi;város;Pest;Dunakeszi;3106;41846;17143
Dunakiliti;község;Győr-Moson-Sopron;Mosonmagyaróvár;3366;1867;742
Dunapataj;nagyközség;Bács-Kiskun;Kalocsa;9045;3087;1592
Dunaremete;község;Győr-Moson-Sopron;Mosonmagyaróvár;436;247;111
Dunaszeg;község;Győr-Moson-Sopron;Győr;1726;2000;704
Dunaszekcső;község;Baranya;Mohács;3675;1911;920
Dunaszentbenedek;község;Bács-Kiskun;Kalocsa;2310;808;423
Dunaszentgyörgy;község;Tolna;Paks;3763;2562;1033
Dunaszentmiklós;község;Komárom-Esztergom;Tata;777;446;190
Dunaszentpál;község;Győr-Moson-Sopron;Győr;981;736;265
Dunasziget;község;Győr-Moson-Sopron;Mosonmagyaróvár;3589;1603;629
Dunatetétlen;község;Bács-Kiskun;Kalocsa;4320;528;256
Dunaújváros;megyei jogú város;Fejér;Dunaújváros;5267;46052;23020
Dunavarsány;város;Pest;Szigetszentmiklós;2250;7517;2937
Dunavecse;város;Bács-Kiskun;Kunszentmiklós;6658;3856;1677
Dusnok;község;Bács-Kiskun;Kalocsa;5746;2823;1254
Dúzs;község;Tolna;Tamási;1127;252;115
Ebergőc;község;Győr-Moson-Sopron;Sopron;502;163;87
Ebes;község;Hajdú-Bihar;Hajdúszoboszló;7727;4388;1627
Écs;község;Győr-Moson-Sopron;Pannonhalma;1984;1903;735
Ecséd;község;Heves;Hatvan;4161;3094;1431
Ecseg;község;Nógrád;Pásztó;2410;1174;515
Ecsegfalva;község;Békés;Gyomaendrőd;7899;1255;557
Ecseny;község;Somogy;Kaposvár;1292;219;160
Ecser;nagyközség;Pest;Vecsés;1312;3621;1515
Edde;község;Somogy;Kaposvár;851;197;79
Edelény;város;Borsod-Abaúj-Zemplén;Edelény;5682;9739;3517
Edve;község;Győr-Moson-Sopron;Kapuvár;505;116;72
Eger;megyeszékhely, megyei jogú város;Heves;Eger;9220;54609;26299
Egerág;község;Baranya;Pécs;1301;968;340
Egeralja;község;Veszprém;Devecser;893;227;114
Egeraracsa;község;Zala;Keszthely;703;307;169
Egerbakta;község;Heves;Eger;3238;1420;532
Egerbocs;község;Heves;Eger;1595;562;272
Egercsehi;község;Heves;Eger;1039;1320;635
Egerfarmos;község;Heves;Füzesabony;2380;680;334
Egerlövő;község;Borsod-Abaúj-Zemplén;Mezőkövesd;1978;512;275
Egerszalók;község;Heves;Eger;2311;1981;778
Egerszólát;község;Heves;Eger;2610;1000;442
Égerszög;község;Borsod-Abaúj-Zemplén;Edelény;1077;59;45
Egervár;község;Zala;Zalaegerszeg;1029;1012;385
Egervölgy;község;Vas;Vasvár;886;329;227
Egyed;község;Győr-Moson-Sopron;Csorna;1343;504;240
Egyek;nagyközség;Hajdú-Bihar;Balmazújváros;10473;5071;2298
Egyházasdengeleg;község;Nógrád;Pásztó;1575;464;215
Egyházasfalu;község;Győr-Moson-Sopron;Sopron;2163;887;364
Egyházasgerge;község;Nógrád;Salgótarján;1537;730;365
Egyházasharaszti;község;Baranya;Siklós;1099;282;129
Egyházashetye;község;Vas;Celldömölk;1320;328;177
Egyházashollós;község;Vas;Körmend;1905;556;261
Egyházaskesző;község;Veszprém;Pápa;2012;517;248
Egyházaskozár;község;Baranya;Komló;2431;769;343
Egyházasrádóc;község;Vas;Körmend;2479;1291;518
Elek;város;Békés;Gyula;5491;4787;2005
Ellend;község;Baranya;Pécs;799;185;98
Előszállás;nagyközség;Fejér;Dunaújváros;3996;2276;953
Emőd;város;Borsod-Abaúj-Zemplén;Miskolc;4937;4785;1955
Encs;város;Borsod-Abaúj-Zemplén;Encs;2580;6402;2263
Encsencs;község;Szabolcs-Szatmár-Bereg;Nyírbátor;3188;1958;655
Endrefalva;község;Nógrád;Szécsény;1323;1212;454
Endrőc;község;Baranya;Szigetvár;1133;362;132
Enese;község;Győr-Moson-Sopron;Győr;1986;1734;616
Enying;város;Fejér;Enying;8278;6777;2608
Eperjes;község;Csongrád;Szentes;7387;548;299
Eperjeske;község;Szabolcs-Szatmár-Bereg;Záhony;1354;1260;384
Eplény;község;Veszprém;Veszprém;828;491;184
Epöl;község;Komárom-Esztergom;Esztergom;1251;632;260
Ercsi;város;Fejér;Martonvásár;6531;8050;3168
Érd;megyei jogú város;Pest;Érd;6053;63993;24185
Erdőbénye;község;Borsod-Abaúj-Zemplén;Tokaj;4578;1081;747
Erdőhorváti;község;Borsod-Abaúj-Zemplén;Sárospatak;5009;618;308
Erdőkertes;község;Pest;Gödöllő;575;7543;2840
Erdőkövesd;község;Heves;Pétervására;1718;656;302
Erdőkürt;község;Nógrád;Pásztó;2172;477;264
Erdősmárok;község;Baranya;Mohács;814;86;41
Erdősmecske;község;Baranya;Pécsvárad;2644;362;188
Erdőtarcsa;község;Nógrád;Pásztó;1507;508;240
Erdőtelek;község;Heves;Heves;4490;3212;1372
Erk;község;Heves;Heves;2169;935;350
Érpatak;község;Szabolcs-Szatmár-Bereg;Nagykálló;3134;1673;665
Érsekcsanád;község;Bács-Kiskun;Baja;5829;2804;1040
Érsekhalma;község;Bács-Kiskun;Baja;2754;583;292
Érsekvadkert;község;Nógrád;Balassagyarmat;5537;3461;1391
Értény;község;Tolna;Tamási;2995;778;277
Erzsébet;község;Baranya;Pécsvárad;975;264;127
Esztár;község;Hajdú-Bihar;Derecske;3170;1335;516
Eszteregnye;község;Zala;Nagykanizsa;2009;669;285
Esztergályhorváti;község;Zala;Keszthely;1668;429;208
Esztergom;város;Komárom-Esztergom;Esztergom;9935;28102;12422
Ete;község;Komárom-Esztergom;Kisbér;2061;613;246
Etes;község;Nógrád;Salgótarján;1580;1374;695
Etyek;nagyközség;Fejér;Bicske;5327;4112;1583
Fábiánháza;község;Szabolcs-Szatmár-Bereg;Mátészalka;2734;1747;753
Fábiánsebestyén;község;Csongrád;Szentes;7171;1970;900
Fácánkert;község;Tolna;Tolna;1070;612;283
Fadd;nagyközség;Tolna;Tolna;6754;4083;1594
Fáj;község;Borsod-Abaúj-Zemplén;Encs;1933;426;91
Fajsz;község;Bács-Kiskun;Kalocsa;3199;1687;850
Fancsal;község;Borsod-Abaúj-Zemplén;Encs;977;300;150
Farád;község;Győr-Moson-Sopron;Csorna;2879;1895;731
Farkasgyepű;község;Veszprém;Ajka;1005;355;162
Farkaslyuk;község;Borsod-Abaúj-Zemplén;Ózd;548;1940;598
Farmos;község;Pest;Nagykáta;4010;3427;1539
Fazekasboda;község;Baranya;Pécsvárad;702;200;96
Fedémes;község;Heves;Pétervására;862;317;167
Fegyvernek;város;Jász-Nagykun-Szolnok;Törökszentmiklós;7148;6447;2643
Fehérgyarmat;város;Szabolcs-Szatmár-Bereg;Fehérgyarmat;5244;8089;3270
Fehértó;község;Győr-Moson-Sopron;Győr;1138;481;223
Fehérvárcsurgó;község;Fejér;Mór;2965;1900;761
Feked;község;Baranya;Mohács;1933;203;109
Feketeerdő;község;Győr-Moson-Sopron;Mosonmagyaróvár;675;558;205
Felcsút;község;Fejér;Bicske;2202;1812;723
Feldebrő;község;Heves;Eger;2652;974;551
Felgyő;község;Csongrád;Csongrád;7673;1193;569
Felpéc;község;Győr-Moson-Sopron;Tét;2247;852;364
Felsőberecki;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;353;259;116
Felsőcsatár;község;Vas;Szombathely;1790;509;186
Felsődobsza;község;Borsod-Abaúj-Zemplén;Gönc;1524;937;317
Felsőegerszeg;község;Baranya;Sásd;484;128;64
Felsőgagy;község;Borsod-Abaúj-Zemplén;Encs;1447;216;80
Felsőjánosfa;község;Vas;Körmend;306;175;89
Felsőkelecsény;község;Borsod-Abaúj-Zemplén;Putnok;799;362;134
Felsőlajos;község;Bács-Kiskun;Kecskemét;1141;864;385
Felsőmarác;község;Vas;Körmend;1744;227;184
Felsőmocsolád;község;Somogy;Kaposvár;1650;391;252
Felsőnána;község;Tolna;Bonyhád;1891;588;238
Felsőnyárád;község;Borsod-Abaúj-Zemplén;Putnok;1167;940;388
Felsőnyék;község;Tolna;Tamási;3203;978;491
Felsőörs;község;Veszprém;Balatonalmádi;1723;1631;579
Felsőpáhok;község;Zala;Keszthely;726;647;324
Felsőpakony;nagyközség;Pest;Gyál;1532;3359;1202
Felsőpetény;község;Nógrád;Rétság;1450;567;267
Felsőrajk;község;Zala;Nagykanizsa;2055;739;326
Felsőregmec;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;1075;319;88
Felsőszenterzsébet;község;Zala;Lenti;824;16;16
Felsőszentiván;község;Bács-Kiskun;Baja;5354;1815;842
Felsőszentmárton;község;Baranya;Sellye;1947;914;507
Felsőszölnök;község;Vas;Szentgotthárd;2356;584;291
Felsőtárkány;község;Heves;Eger;7733;3506;1309
Felsőtelekes;község;Borsod-Abaúj-Zemplén;Kazincbarcika;845;711;286
Felsőtold;község;Nógrád;Pásztó;1083;125;104
Felsővadász;község;Borsod-Abaúj-Zemplén;Szikszó;1864;520;177
Felsőzsolca;város;Borsod-Abaúj-Zemplén;Miskolc;1626;6521;2176
Fényeslitke;község;Szabolcs-Szatmár-Bereg;Kisvárda;2516;2407;866
Fenyőfő;község;Győr-Moson-Sopron;Pannonhalma;2965;109;85
Ferencszállás;község;Csongrád;Szeged;579;605;269
Fertőboz;község;Győr-Moson-Sopron;Sopron;1364;310;116
Fertőd;város;Győr-Moson-Sopron;Sopron;4853;3360;1432
Fertőendréd;község;Győr-Moson-Sopron;Sopron;1510;638;252
Fertőhomok;község;Győr-Moson-Sopron;Sopron;1261;696;256
Fertőrákos;község;Győr-Moson-Sopron;Sopron;2188;2260;916
Fertőszentmiklós;város;Győr-Moson-Sopron;Sopron;3938;3854;1483
Fertőszéplak;község;Győr-Moson-Sopron;Sopron;2175;1312;479
Fiad;község;Somogy;Tab;1491;127;79
Filkeháza;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;441;99;42
Fityeház;község;Zala;Nagykanizsa;650;640;253
Foktő;község;Bács-Kiskun;Kalocsa;3146;1590;737
Folyás;község;Hajdú-Bihar;Hajdúnánás;5389;297;148
Fonó;község;Somogy;Kaposvár;1061;256;149
Fony;község;Borsod-Abaúj-Zemplén;Gönc;4056;320;226
Fonyód;város;Somogy;Fonyód;5355;4757;2589
Forráskút;község;Csongrád;Mórahalom;3667;2265;1010
Forró;község;Borsod-Abaúj-Zemplén;Encs;1903;2489;811
Fót;város;Pest;Dunakeszi;3741;19121;7168
Földeák;község;Csongrád;Makó;3634;2993;1458
Földes;nagyközség;Hajdú-Bihar;Püspökladány;6522;3980;1726
Főnyed;község;Somogy;Marcali;573;79;53
Fulókércs;község;Borsod-Abaúj-Zemplén;Encs;1860;374;113
Furta;község;Hajdú-Bihar;Berettyóújfalu;4281;1170;584
Füle;község;Fejér;Székesfehérvár;3032;839;403
Fülesd;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1504;449;172
Fülöp;község;Hajdú-Bihar;Nyíradony;5591;1748;719
Fülöpháza;község;Bács-Kiskun;Kecskemét;4704;841;445
Fülöpjakab;község;Bács-Kiskun;Kecskemét;2314;1132;512
Fülöpszállás;község;Bács-Kiskun;Kiskőrös;9132;2159;1166
Fülpösdaróc;község;Szabolcs-Szatmár-Bereg;Mátészalka;425;320;115
Fürged;község;Tolna;Tamási;2676;706;249
Füzér;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;3750;415;220
Füzérkajata;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;1144;120;78
Füzérkomlós;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;587;300;134
Füzérradvány;község;Borsod-Abaúj-Zemplén;Sátoraljaújhely;981;284;207
Füzesabony;város;Heves;Füzesabony;4634;7637;3128
Füzesgyarmat;város;Békés;Szeghalom;12733;5774;2406
Fűzvölgy;község;Zala;Nagykanizsa;314;122;58
Gáborján;község;Hajdú-Bihar;Berettyóújfalu;2645;863;376
Gáborjánháza;község;Zala;Lenti;507;69;61
Gacsály;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;1980;918;298
Gadács;község;Somogy;Kaposvár;386;85;60
Gadány;község;Somogy;Marcali;1970;311;144
Gadna;község;Borsod-Abaúj-Zemplén;Szikszó;809;277;72
Gádoros;nagyközség;Békés;Orosháza;3813;3481;1776
Gagyapáti;község;Borsod-Abaúj-Zemplén;Encs;323;10;14
Gagybátor;község;Borsod-Abaúj-Zemplén;Szikszó;1877;193;95
Gagyvendégi;község;Borsod-Abaúj-Zemplén;Szikszó;1232;215;101
Galambok;község;Zala;Nagykanizsa;2591;1263;554
Galgaguta;község;Nógrád;Balassagyarmat;1589;608;285
Galgagyörk;község;Pest;Vác;1472;1031;349
Galgahévíz;község;Pest;Aszód;3118;2456;994
Galgamácsa;község;Pest;Aszód;4330;1729;740
Gálosfa;község;Somogy;Kaposvár;1975;218;114
Galvács;község;Borsod-Abaúj-Zemplén;Edelény;1504;96;75
Gamás;község;Somogy;Fonyód;4286;748;375
Ganna;község;Veszprém;Pápa;1547;235;122
Gánt;község;Fejér;Bicske;5815;862;270
Gara;község;Bács-Kiskun;Baja;5996;2323;920
Garáb;község;Nógrád;Pásztó;820;48;59
Garabonc;község;Zala;Nagykanizsa;1856;694;267
Garadna;község;Borsod-Abaúj-Zemplén;Encs;975;385;184
Garbolc;község;Szabolcs-Szatmár-Bereg;Fehérgyarmat;725;143;66
Gárdony;város;Fejér;Gárdony;6350;10206;4515
Garé;község;Baranya;Siklós;853;288;111
Gasztony;község;Vas;Szentgotthárd;1427;422;211
Gátér;község;Bács-Kiskun;Kiskunfélegyháza;3088;919;466
Gávavencsellő;nagyközség;Szabolcs-Szatmár-Bereg;Ibrány;6684;3481;1558
Géberjén;község;Szabolcs-Szatmár-Bereg;Mátészalka;538;488;203
Gecse;község;Veszprém;Pápa;933;384;189
Géderlak;község;Bács-Kiskun;Kalocsa;1874;997;468
Gégény;község;Szabolcs-Szatmár-Bereg;Kemecse;2343;1935;723
Gelej;község;Borsod-Abaúj-Zemplén;Mezőcsát;3211;580;270
Gelénes;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;2056;574;238
Gellénháza;község;Zala;Zalaegerszeg;523;1558;643
Gelse;község;Zala;Nagykanizsa;2246;1098;451
Gelsesziget;község;Zala;Nagykanizsa;498;250;106
Gemzse;község;Szabolcs-Szatmár-Bereg;Vásárosnamény;1356;930;283
Gencsapáti;község;Vas;Szombathely;2239;2711;939
